sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
bmx-trees,a_plus_b_best_full_pipeline,A+B Best 按序列选优完整流程,fusion,full_pipeline,stable,legacy,,,,,0.7455,,,35.2173,9.8035,0.9432,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/home/jli657/my_storage2_1T/project3/eval/unified_eval_v2.csv,/data3/jli657/project3/part3/results_v2/bmx-trees/a_plus_b_best/propainter/masks_dilated,/data3/jli657/project3/part3/results_v2/bmx-trees/a_plus_b_best/propainter/bmx-trees/masked_in.mp4,/data3/jli657/project3/part3/results_v2/bmx-trees/a_plus_b_best/propainter/bmx-trees/inpaint_out.mp4,/data3/jli657/project3/part3/pipeline/run_a3_best_pipeline.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/a_plus_b_best_full_pipeline,这是当前最强的汇总版本：每个序列选当下最好的 mask 来源，再接 ProPainter。,它适合作为当前最优结果，但报告里必须讲清楚它是按序列路由选优，不是单一方法无脑统治全部序列。
blackswan,a_plus_b_best_full_pipeline,A+B Best 按序列选优完整流程,fusion,full_pipeline,stable,legacy,,,,,0.9558,,,33.4822,13.0517,0.8844,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/home/jli657/my_storage2_1T/project3/eval/unified_eval_v2.csv,/data3/jli657/project3/part3/results_v2/blackswan/a_plus_b_best/propainter/masks_dilated,/data3/jli657/project3/part3/results_v2/blackswan/a_plus_b_best/propainter/blackswan/masked_in.mp4,/data3/jli657/project3/part3/results_v2/blackswan/a_plus_b_best/propainter/blackswan/inpaint_out.mp4,/data3/jli657/project3/part3/pipeline/run_a3_best_pipeline.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/a_plus_b_best_full_pipeline,这是当前最强的汇总版本：每个序列选当下最好的 mask 来源，再接 ProPainter。,它适合作为当前最优结果，但报告里必须讲清楚它是按序列路由选优，不是单一方法无脑统治全部序列。
car-shadow,a_plus_b_best_full_pipeline,A+B Best 按序列选优完整流程,fusion,full_pipeline,stable,legacy,,,,,0.9785,,,37.4591,9.3517,0.9193,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/home/jli657/my_storage2_1T/project3/eval/unified_eval_v2.csv,/data3/jli657/project3/part3/results_v2/car-shadow/a_plus_b_best/propainter/masks_dilated,/data3/jli657/project3/part3/results_v2/car-shadow/a_plus_b_best/propainter/car-shadow/masked_in.mp4,/data3/jli657/project3/part3/results_v2/car-shadow/a_plus_b_best/propainter/car-shadow/inpaint_out.mp4,/data3/jli657/project3/part3/pipeline/run_a3_best_pipeline.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/a_plus_b_best_full_pipeline,这是当前最强的汇总版本：每个序列选当下最好的 mask 来源，再接 ProPainter。,它适合作为当前最优结果，但报告里必须讲清楚它是按序列路由选优，不是单一方法无脑统治全部序列。
horsejump-low,a_plus_b_best_full_pipeline,A+B Best 按序列选优完整流程,fusion,full_pipeline,stable,legacy,,,,,0.9331,,,33.4754,10.2262,0.9085,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/home/jli657/my_storage2_1T/project3/eval/unified_eval_v2.csv,/data3/jli657/project3/part3/results_v2/horsejump-low/a_plus_b_best/propainter/masks_dilated,/data3/jli657/project3/part3/results_v2/horsejump-low/a_plus_b_best/propainter/horsejump-low/masked_in.mp4,/data3/jli657/project3/part3/results_v2/horsejump-low/a_plus_b_best/propainter/horsejump-low/inpaint_out.mp4,/data3/jli657/project3/part3/pipeline/run_a3_best_pipeline.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/a_plus_b_best_full_pipeline,这是当前最强的汇总版本：每个序列选当下最好的 mask 来源，再接 ProPainter。,它适合作为当前最优结果，但报告里必须讲清楚它是按序列路由选优，不是单一方法无脑统治全部序列。
koala,a_plus_b_best_full_pipeline,A+B Best 按序列选优完整流程,fusion,full_pipeline,stable,legacy,,,,,0.9482,,,32.2091,15.5301,0.8346,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/home/jli657/my_storage2_1T/project3/eval/unified_eval_v2.csv,/data3/jli657/project3/part3/results_v2/koala/a_plus_b_best/propainter/masks_dilated,/data3/jli657/project3/part3/results_v2/koala/a_plus_b_best/propainter/koala/masked_in.mp4,/data3/jli657/project3/part3/results_v2/koala/a_plus_b_best/propainter/koala/inpaint_out.mp4,/data3/jli657/project3/part3/pipeline/run_a3_best_pipeline.py,,/data3/jli657/project3/part3/part3_deliverables/koala/a_plus_b_best_full_pipeline,这是当前最强的汇总版本：每个序列选当下最好的 mask 来源，再接 ProPainter。,它适合作为当前最优结果，但报告里必须讲清楚它是按序列路由选优，不是单一方法无脑统治全部序列。
tennis,diffueraser_gtmask_v1,DiffuEraser GT mask v1（inpaint_only）,DiffuEraser,inpaint_only,exploratory,v1,davis_gt,pure_propainter_gtmask,三版停止条件已触发（v1/v2/v3 均低于基线 3.5-4.5 dB）。DiffuEraser 不扩序列，不进 full_pipeline。归档为 exploratory。后续可探索修改 soft-blending 策略或使用更大 neighbor_length。,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v1/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v1/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v1/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v1,以 DAVIS GT mask 固定输入，比较 DiffuEraser（视频 diffusion inpainting）与 pure ProPainter 的修复质量。DiffuEraser 基于 BrushNet+AnimateDiff 架构，内置 ProPainter 做 prior 初始化，再用 diffusion 精修，目标是更强生成能力和时间一致性。首轮只在 tennis（70帧）验证，通过门槛后再扩序列。,v1 最终状态（三版停止决策后）：PSNR_proxy=31.42 vs 基线 34.98（-3.56dB），SSIM=0.897 vs 0.930（-0.033）。v2/v3 均未改善。根本原因：DiffuEraser soft-blending 污染非 mask 区域。决策：停止扩序列，不进 full_pipeline，归档 exploratory。PSNR_synthetic (mask 区域) ≈ ProPainter，mask 内修复质量相当但无提升。
tennis,diffueraser_gtmask_v3,"DiffuEraser GT mask v3（max_img_size=640, dilation=4）",DiffuEraser,inpaint_only,exploratory,v3,davis_gt,diffueraser_gtmask_v2,三版停止条件已触发。DiffuEraser 不扩序列，不进 full_pipeline。归档为 exploratory。后续可探索修改 blending 策略或更大 neighbor_length。,"v3 (dilation=4, max_img_size=640): PSNR_proxy=30.42 (-4.56dB vs 基线 34.98)，SSIM=0.871 (vs 0.930)。三版一致低于基线，确认停止。",,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v3/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v3/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v3/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v3,v3 最终测试：降分辨率（max_img_size=640，约 640x360）+ 中等 dilation=4。v1/v2 结果显示 dilation 不是根本问题（两版相差<0.1dB）。v3 测试分辨率是否影响背景污染。结果：更差（-4.56dB vs 基线）。三版均未改善，确认为停止条件，归档为 exploratory。,"DiffuEraser tennis 三版验证均未过门槛（v1: -3.56dB, v2: -3.66dB, v3: -4.56dB）。根本原因：soft-blended diffusion 输出影响非 mask 区域。决策：停止扩序列，不进 full_pipeline，归档为 exploratory 供参考。"
tennis,diffueraser_gtmask_v4,DiffuEraser GT mask v4（hard blend，消除软融合泄漏）,DiffuEraser,inpaint_only,exploratory,v4,davis_gt,diffueraser_gtmask_v1,v4 通过 PSNR_proxy 门槛（36.28 ≥ 34.88）。下一步：扩到 bmx-trees 和 car-shadow 验证泛化性。,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v4/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v4/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v4/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/apply_hard_blend.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v4,基于 v1 inpaint_out 做后处理硬贴回：mask 内保留 DiffuEraser 修复结果，mask 外强制使用 DAVIS 原始 JPEG 帧（不经 MP4 重编码）。目的：消除 soft-blending 泄漏导致的白色虚影问题。此版不重跑 DiffuEraser 推理，是对 v1 的纯后处理。,v4 结果（硬贴回，从 DAVIS JPEG 直接取非 mask 像素）：PSNR_proxy=36.28（+1.40dB vs 基线 34.88），通过 PSNR_proxy 门槛！PSNR_synthetic=32.88（mask 区域修复质量高，与 ProPainter prior 一致）。白色虚影问题已通过硬贴回解决。决策：v4 通过门槛，可扩到其他序列。
tennis,diffueraser_gtmask_v5,"DiffuEraser GT mask v5（neighbor_length=20, subvideo=70）",DiffuEraser,inpaint_only,exploratory,v5,davis_gt,pure_propainter_gtmask,未过门槛，归档 exploratory。soft-blending 根本问题需 v4 类硬贴回解决。,PSNR_proxy=31.32（-3.56dB vs 基线 34.88）。扩大 neighbor_length/subvideo 未改善非 mask 区域污染。,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v5/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v5/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v5/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v5,扩大 ProPainter prior 的时序上下文窗口：neighbor_length=20（原 10），subvideo_length=70（原 50）。更长上下文有助于减少边界 feathering 和 hallucination。假设：更好的 prior 可以减少 diffusion 在不一致区域的 soft-blending 影响。,v5 结果：PSNR_proxy=31.32（与 v1 31.32 相近），PSNR_synthetic=8.42。扩大上下文窗口未显著改善 PSNR_proxy，根本原因仍是 soft-blending 泄漏。决策：归档 exploratory，不扩序列。
tennis,diffueraser_gtmask_v6,DiffuEraser GT mask v6（max_img_size=1280，原分辨率推理）,DiffuEraser,inpaint_only,exploratory,v6,davis_gt,pure_propainter_gtmask,未过门槛，归档 exploratory。soft-blending 根本问题与分辨率无关。,PSNR_proxy=31.32（-3.56dB vs 基线 34.88）。max_img_size=1280 未改善非 mask 区域污染。,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v6/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v6/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v6/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v6,提高 max_img_size=1280（原 960），tennis 原始 854x480 不会被 downsample，在原分辨率下做 diffusion 推理。v3 降低分辨率（640）反而更差，假设原分辨率推理可以保留更多细节，减少上采样引入的 artifacts。,v6 结果：PSNR_proxy=31.32（与 v1 相近），PSNR_synthetic=8.43。原分辨率推理未改善 PSNR_proxy，确认根本问题是 soft-blending 架构，与分辨率无关。决策：归档 exploratory。
tennis,diffueraser_gtmask_v7,"DiffuEraser GT mask v7（最紧 mask, dilate_px=0, dilation_iter=0）",DiffuEraser,inpaint_only,exploratory,v7,davis_gt,pure_propainter_gtmask,未过门槛（32.46 < 34.88），但有改善趋势。归档 exploratory。若需进一步探索可结合 v4 硬贴回思路。,PSNR_proxy=32.46（-2.43dB vs 基线 34.88）。最紧 mask 有改善但仍未过门槛。PSNR_synthetic=13.10 异常高（更多原始像素被计入 mask 内）。,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v7/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v7/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v7/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v7,最紧 mask 实验：prepare 阶段 dilate_px=0（不外扩 GT mask），DiffuEraser 内部 mask_dilation_iter=0，输入完全对齐 GT mask 边界。假设：更小 mask 减少 soft-blending 影响的非 mask 区域面积，提升 PSNR_proxy。,v7 结果：PSNR_proxy=32.46（-2.43dB vs 基线 34.88），PSNR_synthetic=13.10。最紧 mask 有所改善（vs v1 -3.56dB），但仍未过门槛。PSNR_synthetic 13.10 比 v1 的 8.42 高，说明更紧 mask 使 mask 内更多区域保留了原始像素。决策：有改善趋势，但仍归档 exploratory。
tennis,diffueraser_gtmask_v8,DiffuEraser GT mask v8（ref_stride=5，密参考帧）,DiffuEraser,inpaint_only,exploratory,v8,davis_gt,pure_propainter_gtmask,未过门槛，归档 exploratory。8 版 DiffuEraser 调参探索完毕。结论：仅 v4（硬贴回）通过门槛，其余版本均因 soft-blending 架构问题失败。,PSNR_proxy=31.31（-3.57dB vs 基线 34.88）。ref_stride=5 未改善非 mask 区域污染，与 soft-blending 根本原因无关。,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v8/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v8/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v8/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v8,密参考帧实验：ref_stride=5（原 10），每 5 帧取一个参考帧。更密的参考帧让 ProPainter prior 有更连贯的时序信息，有望减少 diffusion 在不一致 prior 上的 hallucination 和边界 blending 问题。,v8 结果：PSNR_proxy=31.31（与 v1 相近），PSNR_synthetic=8.41。密参考帧未改善 PSNR_proxy，soft-blending 根本问题不受 ref_stride 影响。决策：归档 exploratory。8 版调参方向已全部探索完毕。
tennis,diffueraser_smoke_v1,DiffuEraser 环境 smoke test（工程验证）,DiffuEraser,inpaint_only,exploratory,v1,davis_gt,pure_propainter_gtmask,smoke 通过后运行完整 v1 推理,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,,,,/data3/jli657/project3/part3/inpainting/run_diffueraser_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_smoke_v1,工程 smoke test：确认 DiffuEraser 环境能正确导入，输入视频格式兼容。不产生最终 inpaint_out.mp4。,待 smoke test 运行后更新
tennis,diffueraser_gtmask_v2,DiffuEraser GT mask v2 (mask_dilation_iter=8),DiffuEraser,inpaint_only,exploratory,v2,davis_gt,diffueraser_gtmask_v1,"DiffuEraser tennis 三版验证结论（2026-05）：
v1 (dilation=0): PSNR_proxy=31.42 (-3.56dB vs 基线 34.98), SSIM=0.897
v2 (dilation=8): PSNR_proxy=31.32 (-3.66dB), SSIM=0.894 — 与 v1 无显著差异
v3 (dilation=4, max_img_size=640): PSNR_proxy=30.42 (-4.56dB), SSIM=0.871 — 更差
根本原因：DiffuEraser 使用 soft-blended diffusion 输出，边界 feathering 会轻微污染非 mask 区域。
PSNR_synthetic（mask 区域）三版均≈8.35，与 ProPainter 持平，说明 mask 内修复质量相当但无提升。
决策：停止扩序列，归档为 exploratory。不进入 full_pipeline 主线。
后续可考虑：(1) 修改 blending 策略使其保留背景; (2) 探索更大 neighbor_length 参数。","v2 (mask_dilation_iter=8, max_img_size=960): PSNR_proxy=31.3224 vs 基线 34.98 (差 -3.66dB), SSIM=0.8941 vs 基线 0.9298。DiffuEraser soft-blending 会污染非 mask 区域（系统性问题）。",,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v2/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v2/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/diffueraser_gtmask_v2/inpaint_out.mp4,,,/data3/jli657/project3/part3/part3_deliverables/tennis/diffueraser_gtmask_v2,,"v2 (dilation=8, size=960): PSNR_proxy=31.32, SSIM=0.8941 — 系统性低于基线 3.5-4.5 dB。"
